username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
titopuccettic,"Comunicador Social y Periodista de la Javeriana de Bogotá. Relator de fútbol, conductor de televisión y radio. @DIRECTVSportsCo y Blu Radio. IG @titopuccettic",Colombia,2794,811561,50263,2010-03-31 21:11:26,2021-05-15 02:38:19,2,"""No sé decir el sitio exacto en el que me gustaría retirarme; falta poco, no quiero jugar hasta muy mayor"": James Rodríguez.

#jamesrodríguez #James #seleccion #colombia #retiro https://t.co/kgR3Dx96DG","[{'text': 'jamesrodríguez', 'indices': [126, 141]}, {'text': 'James', 'indices': [142, 148]}, {'text': 'seleccion', 'indices': [149, 159]}, {'text': 'colombia', 'indices': [160, 169]}, {'text': 'retiro', 'indices': [170, 177]}]"
FutbolTotalP,"Periodista, mordaz, cortopunzante y resultadista. La hombría sobre el talento. Fanático del otro fútbol. https://t.co/cwNixroTAf #SuperGlueChemmer #CajaSullana",Lima - Perú,662,727,10197,2018-10-27 22:33:50,2021-05-14 23:05:28,0,"#JamesRodriguez: ""No sé decir ahora el momento exacto cuando me gustaría retirarme. Creo que falta poco porque tenemos que ser felices cada vez que venimos acá"". https://t.co/SVA4QX64qd","[{'text': 'JamesRodriguez', 'indices': [0, 15]}]"
RealAtletico1,"Madrid, Spain",,1692,144,7458,2019-08-20 15:05:28,2021-05-13 19:28:58,0,@Atleti @Simeone At least we need #AndreSilva #Depay #JamesRodriguez #calhanoglu #Sulé and #Romagnoli for next seasons. #AúpaAtleti #Atleti https://t.co/nWVeHZEbcO,"[{'text': 'AndreSilva', 'indices': [34, 45]}, {'text': 'Depay', 'indices': [46, 52]}, {'text': 'JamesRodriguez', 'indices': [53, 68]}, {'text': 'calhanoglu', 'indices': [69, 80]}, {'text': 'Sulé', 'indices': [81, 86]}, {'text': 'Romagnoli', 'indices': [91, 101]}, {'text': 'AúpaAtleti', 'indices': [120, 131]}, {'text': 'Atleti', 'indices': [132, 139]}]"
FirmaStella,"Exclusive signed sports memorabilia. Authenticity? We show you our items being signed. Follow us for free give-aways, chat and latest signed Memorabilia.",Instagram: @firmastella ,81,1982,255,2013-04-06 14:18:37,2021-05-13 18:27:00,0,"James Rodriguez, Everton Icon &amp; Firma Stella Partner. Watch the star on our Youtube channel - https://t.co/InasmsPXQm

#FirmaStella #SportsMemorabilia #JamesRodriguez #Rodriguez #Everton #EvertonFC #FootballIcon #Colombian","[{'text': 'FirmaStella', 'indices': [123, 135]}, {'text': 'SportsMemorabilia', 'indices': [136, 154]}, {'text': 'JamesRodriguez', 'indices': [155, 170]}, {'text': 'Rodriguez', 'indices': [171, 181]}, {'text': 'Everton', 'indices': [182, 190]}, {'text': 'EvertonFC', 'indices': [191, 201]}, {'text': 'FootballIcon', 'indices': [202, 215]}, {'text': 'Colombian', 'indices': [216, 226]}]"
Yarurito,ULTRANAUT 😈🙌🏼,"bogota, colombia",212,234,21565,2011-06-19 21:16:28,2021-05-13 18:07:25,0,"Ya veremos con un gol de #JamesRodriguez estarán aprovechando para aprobar cosas debajo de cuerda!
Muy buena jugada la de mantener la #CopaAmerica2021 en #Colombia
Así es q se hace política en estos momentos de #Crisis y poder pasar leyes q castigan al pueblo sin q se den cuenta.","[{'text': 'JamesRodriguez', 'indices': [25, 40]}, {'text': 'CopaAmerica2021', 'indices': [134, 150]}, {'text': 'Colombia', 'indices': [154, 163]}, {'text': 'Crisis', 'indices': [211, 218]}]"
Jonasachi,"De Bucaramanga, Periodista, Dios mi 
#1 Instagram @Jonasachi",Colombia,451,1111,1145,2009-12-10 02:32:48,2021-05-13 12:02:08,0,"En el @Everton no están contentos con la lesión de @jamesdrodriguez (en la pantorrilla), por lo que tienen planeado darle un periodo amplio de vacaciones después de la #CopaAmérica. El colombiano se ha perdido 11 partidos esta temporada. #fútbol #soccer #JamesRodriguez https://t.co/7YF2Ra96vV","[{'text': 'CopaAmérica', 'indices': [168, 180]}, {'text': 'fútbol', 'indices': [238, 245]}, {'text': 'soccer', 'indices': [246, 253]}, {'text': 'JamesRodriguez', 'indices': [254, 269]}]"
KCH_FM,"Escúchanos en Guayas 90.9 FM y Santa Elena 94.9 FM 
Síguenos en nuestras redes sociales
Facebook: KCH FM Radio 
Instagram: @kchfmradio
Youtube: KCH FM Radio",Guayaquil- Ecuador,131,728,28609,2019-10-07 16:01:21,2021-05-13 02:50:00,0,"#JamesRodríguez no estará listo para el próximo partido de #Everton

Más detalles 👇🔗 https://t.co/KgwPDwUmo9","[{'text': 'JamesRodríguez', 'indices': [0, 15]}, {'text': 'Everton', 'indices': [59, 67]}]"
sportaruce,"SPORTARUCE™ is dedicated to providing its audience with various useful tips, news and original content, because we absolutely love the sport.",New York,560,197,30944,2013-12-09 06:39:08,2021-05-13 02:09:05,0,Everton return dates set for James Rodriguez and Yerry Mina as Carlo Ancelotti makes Jack Grealish joke - Liverpool Echo https://t.co/AFt85i2Gjm #CarloAncelotti #EvertonFC #JamesRodriguez https://t.co/4JIYuCkVd3,"[{'text': 'CarloAncelotti', 'indices': [145, 160]}, {'text': 'EvertonFC', 'indices': [161, 171]}, {'text': 'JamesRodriguez', 'indices': [172, 187]}]"
BrianCovz,"Reportero en Tv, Fotógrafo de revistas periódicos y sociales. Diseñador Gráfico. Apasionado de la música el fútbol y los animales. Vegetariano y Pisciano :-)","Venezuela, Bolivia y Argentina",1798,248,1638,2014-01-08 20:30:16,2021-05-12 19:07:00,0,@defcentral jajajajaja el mismo #Zidane al q no muchos jugadores no le sienta bien y los hecha del equipo? caso #Bale caso #jamesrodriguez caso #ceballos caso #reguilon caso #mayoral caso #brahim caso #llorente caso #Achraf,"[{'text': 'Zidane', 'indices': [32, 39]}, {'text': 'Bale', 'indices': [112, 117]}, {'text': 'jamesrodriguez', 'indices': [123, 138]}, {'text': 'ceballos', 'indices': [144, 153]}, {'text': 'reguilon', 'indices': [159, 168]}, {'text': 'mayoral', 'indices': [174, 182]}, {'text': 'brahim', 'indices': [188, 195]}, {'text': 'llorente', 'indices': [201, 210]}, {'text': 'Achraf', 'indices': [216, 223]}]"
Fava38,https://t.co/XYnNvIFfjS,"Bogotá, D.C., Colombia",24,28,2660,2010-06-03 22:12:44,2021-05-12 15:42:20,0,¡¡¡Y OTRA VEZ!!! JAMES RODRIGUEZ EVERTON vs ASTON VILLA https://t.co/f5ySXVK1et a través de @YouTube @jamesdrodriguez @Everton #jamesrodriguez #Everton,"[{'text': 'jamesrodriguez', 'indices': [127, 142]}, {'text': 'Everton', 'indices': [143, 151]}]"
ElPodiotv,¡SÚBETE A LO MÁS ALTO DE LA INFORMACIÓN DEPORTIVA! | Instagram: https://t.co/KWTps8gN59 ⚽⚾🏀🏐🏈🎾,Colombia,32,34,331,2020-08-03 03:16:16,2021-05-12 14:34:02,0,"¡TALENTO!👏🤩

#jamesrodriguez #Everton #PremierLeague

https://t.co/ZxmZjt1K54","[{'text': 'jamesrodriguez', 'indices': [13, 28]}, {'text': 'Everton', 'indices': [29, 37]}, {'text': 'PremierLeague', 'indices': [38, 52]}]"
hernanorjuela,Comunicador Social. TV & Radio. Speaker Coach. #Creator Entrevistas con Hernán.Trendiando Show.,"Miami, FL",551,234514,69207,2009-02-15 12:06:44,2021-05-12 12:04:44,0,@diegonoticia Cual es el promedio anual de lesiones de #JamesRodriguez?,"[{'text': 'JamesRodriguez', 'indices': [55, 70]}]"
tsmprakhar,"FA Registered Scout , AIFF Registered Football Agent @treble_sports , Learning to Analyse the game #IndianFootball #TransfersNews #News","Kolkata, India",329,193,2044,2020-02-11 06:04:10,2021-05-12 11:35:42,0,Carlo Ancelotti says Yerry Mina and James Rodriguez missing for trip to Aston Villa #ancelotti #mina #jamesrodriguez #everton #PremierLeague,"[{'text': 'ancelotti', 'indices': [84, 94]}, {'text': 'mina', 'indices': [95, 100]}, {'text': 'jamesrodriguez', 'indices': [101, 116]}, {'text': 'everton', 'indices': [117, 125]}, {'text': 'PremierLeague', 'indices': [126, 140]}]"
